
---- Sample ID 3717 -----

Speaker: I was on the patio and a giant roach crawled out from underneath.
Listener: Those are my nightmares. They are so big where I live in the South.
Speaker: It was almost as bug as a golf ball I felt like throwing up.

pretrained_models/BlenderBot: Oh my goodness! I would have been so grossed out. Did you have to call an exterminator? [Emotion: disgusted; EmpIntent: questioning; IP: 2; EX: 2; ER: 0; Reward: 0.293]
pretrained_models/GPT3: That's so gross! I'm sorry you had to go through that. Is there anything I can do to help? [Emotion: disgusted; EmpIntent: sympathizing; IP: 0; EX: 2; ER: 2; Reward: 0.276]
pretrained_models/GOLD: I would immediately start spraying bug spray all over. Those things terrify me.  [Emotion: terrified; EmpIntent: acknowledging; IP: 2; EX: 0; ER: 0; Reward: -0.098]
pretrained_models/GODEL_LARGE: I've had a few of those. They are so gross. [Emotion: disgusted; EmpIntent: neutral; IP: 2; EX: 0; ER: 0; Reward: -0.057]
fine_tuned_models/GODEL_EMPDIAL_RLHF_v0: That is a scary feeling. I've had roaches in my house before. [Emotion: disgusted; EmpIntent: acknowledging; IP: 2; EX: 0; ER: 0; Reward: 0.072]
fine_tuned_models/BlenderBot_RLHF_v1: I would have screamed like a little girl. I hate bugs so much. I can't stand them. [Emotion: terrified; EmpIntent: acknowledging; IP: 2; EX: 0; ER: 0; Reward: -0.064]
fine_tuned_models/GODEL_EMPDIAL_v0: I'm sorry to hear that. I'm sure you were able to get it out of there. [Emotion: confident; EmpIntent: sympathizing; IP: 0; EX: 0; ER: 2; Reward: -0.041]
fine_tuned_models/GODEL_SODA_v0: That's terrible! Do you have any idea what it was? [Emotion: disgusted; EmpIntent: questioning; IP: 0; EX: 2; ER: 1; Reward: 0.073]
fine_tuned_models/GODEL_SODA_RLHF_v1: That sounds really scary. Did you get any bites? [Emotion: terrified; EmpIntent: questioning; IP: 0; EX: 2; ER: 1; Reward: 0.102]
fine_tuned_models/GODEL_SODA_RLHF_v2: That sounds really scary. Did you get any bites? [Emotion: terrified; EmpIntent: questioning; IP: 0; EX: 2; ER: 1; Reward: 0.102]

